round,ts,run,feedback_hash,scenario,revenue_wk,revenue_delta_pct,disc_spend_wk,profit_wk,chosen_scenario
1,2026-07-07T17:26:38+00:00,20260705_161703,,current,7708273.790113306,0.0,1256158.9086230043,1376024.0580845748,
1,2026-07-07T17:26:38+00:00,20260705_161703,,revenue_base,7944588.887850523,3.065733057384601,1098640.8072345927,1527109.740576576,
1,2026-07-07T17:26:38+00:00,20260705_161703,,revenue_tight,7869392.967622047,2.090210881136501,1152026.219324218,1477384.8698181272,
1,2026-07-07T17:26:38+00:00,20260705_161703,,revenue_loose,8023158.9142172225,4.085027759493842,1053619.420153454,1573203.887795102,
1,2026-07-07T17:26:38+00:00,20260705_161703,,volume_base,7858481.434793572,1.948654767205138,1279444.818958574,1398312.720289494,
1,2026-07-07T17:26:38+00:00,20260705_161703,,nrw_base,7849712.561029397,1.8348955261228816,991754.3085998408,1566358.670986652,
1,2026-07-07T17:26:38+00:00,20260705_161703,,share_base,7859101.784655176,1.956702611359296,1279164.2326227464,1398643.243370042,
1,2026-07-07T17:26:38+00:00,20260705_161703,,profit_base,7889909.615107741,2.3563748504548787,993418.5397154707,1574138.2014692714,
1,2026-07-07T17:26:38+00:00,20260705_161703,,margin_base,7857617.329363679,1.937444664224608,987653.8903843518,1569554.1980870897,
2,2026-07-11T17:24:07+00:00,20260711_221318,,current,7708273.790113306,0.0,1256158.9086230043,1376024.0580845748,
2,2026-07-11T17:24:07+00:00,20260711_221318,,revenue_base,7944588.887850523,3.065733057384601,1098640.8072345927,1527109.740576576,
2,2026-07-11T17:24:07+00:00,20260711_221318,,revenue_tight,7869392.967622047,2.0902108811365006,1152026.219324218,1477384.8698181272,
2,2026-07-11T17:24:07+00:00,20260711_221318,,revenue_loose,8023158.9142172225,4.085027759493842,1053619.420153454,1573203.8877951019,
2,2026-07-11T17:24:07+00:00,20260711_221318,,volume_base,7858481.434793572,1.948654767205138,1279444.818958574,1398312.720289494,
2,2026-07-11T17:24:07+00:00,20260711_221318,,nrw_base,7849712.561029397,1.8348955261228816,991754.3085998408,1566358.670986652,
2,2026-07-11T17:24:07+00:00,20260711_221318,,share_base,7859101.784655176,1.9567026113592956,1279164.2326227464,1398643.243370042,
2,2026-07-11T17:24:07+00:00,20260711_221318,,profit_base,7889909.615107741,2.3563748504548787,993418.5397154707,1574138.2014692714,
2,2026-07-11T17:24:07+00:00,20260711_221318,,margin_base,7857617.3293636795,1.937444664224608,987653.8903843518,1569554.1980870897,
3,2026-07-17T13:22:08+00:00,20260717_174329,,current,8869391.954989268,0.0,1826730.9683247823,1364963.7640666992,
3,2026-07-17T13:22:08+00:00,20260717_174329,,revenue_base,9065557.947668523,2.2117186124456456,1672784.2122528143,1509613.5047402622,
3,2026-07-17T13:22:08+00:00,20260717_174329,,revenue_tight,8999426.889246749,1.466108780820452,1711918.5806070026,1468049.2784522797,
3,2026-07-17T13:22:08+00:00,20260717_174329,,revenue_loose,9131653.052976802,2.9569230824217474,1625700.7311931774,1555031.6807127576,
3,2026-07-17T13:22:08+00:00,20260717_174329,,volume_base,8978623.617844574,1.2315575116043975,1905644.6078852303,1347505.2453166654,
3,2026-07-17T13:22:08+00:00,20260717_174329,,nrw_base,9000206.618343636,1.4749000158999825,1471670.0725995693,1603863.690303426,
3,2026-07-17T13:22:08+00:00,20260717_174329,,share_base,8979361.245258195,1.239874061570445,1905209.8134061228,1347944.6923544458,
3,2026-07-17T13:22:08+00:00,20260717_174329,,profit_base,9036831.111447284,1.887831288861097,1477028.3864008188,1609935.265045619,
3,2026-07-17T13:22:08+00:00,20260717_174329,,margin_base,8988654.254294638,1.3446502298083862,1469769.402728591,1601872.3454696988,
